code,sampl
"COLON, 004308 (125)",4.666666666666667
"SAN FRANCISCO, 004206 (48)",8.0
"GORGONZOLA, 004207 (324)",3.75
"EL EJIDO, 006206 (1130)",5.571428571428571
"RINCON DE SUBA, 009237 (793)",4.4
"LA HORTUA, 001208 (1097)",4.75
"CARACAS, 001203 (454)",10.0
"SOCIEGO, 001205 (684)",4.0
"NARINO SUR, 001207 (275)",8.666666666666666
"MODELO SUR, 001209 (1096)",9.5
"EL VERGEL, 004106 (683)",3.0
"LA GLORIA OCCIDENTAL, 001311 (609)",7.0
"SAN MARTIN SUR, 001321 (589)",1.0
"LA VICTORIA, 001310 (891)",6.0
"SAN VICENTE, 001309 (963)",5.0
"BELLAVISTA SUR, 001313 (703)",4.666666666666667
"ALTOS DEL POBLADO, 001333 (594)",8.0
"SAN JOSE SUR ORIENTAL, 001314 (699)",2.0
"LA GLORIA ORIENTAL, 001319 (488)",3.25
"VILLA DEL CERRO, 001356 (877)",9.0
"EL PARAISO, 001329 (159)",9.0
"VILLABEL, 001332 (597)",6.0
"CANADA O GUIRA, 001330 (580)",6.2
"ARRAYANES I, 002601 (913)",1.5
"SAN AGUSTIN, 001416 (520)",7.0
"DIANA TURBAY, 001421 (515)",2.5
"MARRUECOS, 001418 (181)",7.5
"LA PICOTA, 002511 (667)",8.666666666666666
"LA PICOTA ORIENTAL, 002510 (230)",3.0
"LA PAZ, 002566 (641)",9.0
"PALERMO SUR, 002535 (973)",1.0
"DIANA TURBAY ARRAYANES, 001422 (630)",5.5
"EL POA, 009211 (747)",4.846153846153846
"TIBABUYES, 009233 (629)",7.8
"EL PINO, 009213 (473)",3.7142857142857144
"CAMPANELLA, 009219 (481)",5.0
"BOSQUES DE SAN JORGE, 009241 (284)",10.0
"VELODROMO, 001114 (76)",2.6666666666666665
"PRIMERO DE MAYO, 001112 (892)",2.0
"SANTA ANA SUR, 001111 (458)",8.0
"VEINTE DE JULIO, 001405 (212)",8.0
"SOSIEGO SUR, 001404 (689)",3.3333333333333335
"SAN ISIDRO, 001406 (948)",7.0
"LAS LOMAS, 001409 (995)",4.333333333333333
"BARCELONA SUR, 001424 (11)",3.0
"SAN LUIS, 001426 (854)",6.333333333333333
"HOSPITAL SAN CARLOS, 001403 (624)",4.222222222222222
"GUSTAVO RESTREPO, 001402 (579)",4.6
"COMUNEROS, 004202 (541)",1.6666666666666667
"ESTACION CENTRAL, 006204 (104)",3.0
"INDUSTRIAL CENTENARIO, 006205 (648)",3.3333333333333335
"CIUDAD HUNZA, 009235 (768)",4.8
"PALOQUEMAO, 006107 (606)",3.3333333333333335
"LA ASUNCION, 004203 (786)",5.75
"LA FRAGUA, 002107 (955)",4.0
"CENTENARIO, 002303 (923)",6.5
"SANTIAGO PEREZ, 002304 (350)",4.0
"OLAYA, 002201 (304)",0.0
"QUIROGA I, 002209 (172)",2.0
"CIUDAD SALITRE NOR-ORIENTAL, 006216 (595)",6.142857142857143
"EL SALITRE, 005110 (90)",6.8
"CENTRO ADMINISTRATIVO OCC., 005109 (829)",5.3076923076923075
"CIUDAD UNIVERSITARIA, 005108 (491)",6.0
"QUINTA PAREDES, 006209 (1129)",6.0
"CENTRO NARINO, 006210 (702)",5.666666666666667
"EL RECUERDO, 006201 (416)",4.5
